ProjectID,EmployeeID,TotalHours,AverageHours,Entries
P005,E005,8.30,8.30,1
P005,E006,11.70,11.70,1
P005,E007,13.50,6.75,2
P005,E008,1.60,1.60,1
P005,E001,9.20,9.20,1
P005,E002,7.40,7.40,1
P005,E003,10.20,10.20,1
P004,E005,16.90,8.45,2
P004,E007,10.50,10.50,1
P004,E009,3.10,3.10,1
P004,E001,1.80,1.80,1
P004,E002,1.60,1.60,1
P004,E003,1.50,1.50,1
P004,E004,2.80,2.80,1
P001,E001,12.90,6.45,2
P001,E002,9.00,9.00,1
P001,E003,8.40,8.40,1
P003,E006,5.80,5.80,1
P003,E001,8.50,8.50,1
P003,E003,16.90,8.45,2
P003,E004,3.80,3.80,1
P002,E005,10.70,10.70,1
P002,E006,5.40,5.40,1
P002,E007,6.10,6.10,1
P002,E002,5.40,2.70,2
