Tags Count:
Tag,Count
approved,43
blocked,38
critical,44
in progress,39
escalated,38
needs review,32
delayed,43
completed,47
urgent,36
follow up,40

Employee Work Summary:
EmployeeId,Min Hours,Max Hours,Average Hours
EMP0009,1.15,10.00,6.01
EMP0019,1.32,9.71,5.81
EMP0008,1.18,9.45,5.13
EMP0021,1.50,9.39,5.52
EMP0010,1.15,8.77,4.97
EMP0020,1.57,9.98,5.87
EMP0012,1.67,9.47,5.59
EMP0001,1.07,8.77,5.00
EMP0023,1.16,9.46,4.70
EMP0011,2.25,9.82,6.05
EMP0022,2.28,9.40,6.09
EMP0003,1.56,8.85,5.58
EMP0014,1.00,9.60,5.54
EMP0002,1.08,6.62,3.95
EMP0013,1.09,9.88,4.60
EMP0024,2.30,8.77,6.51
EMP0005,1.43,8.98,4.59
EMP0016,1.63,9.67,5.38
EMP0015,1.00,9.08,4.73
EMP0004,1.06,9.64,5.17
EMP0007,1.02,9.43,6.58
EMP0018,1.11,9.67,4.55
EMP0006,1.05,9.88,3.85
EMP0017,1.02,9.05,4.76

Category % Contribution per Project:
Project,Category,Percentage
PRJ166,Training,24.50
PRJ166,Bug Fix,24.11
PRJ166,Documentation,21.87
PRJ166,Development,18.04
PRJ166,Testing,11.47
PRJ165,Training,34.11
PRJ165,Documentation,33.62
PRJ165,Monitoring,32.27
PRJ168,Documentation,50.59
PRJ168,Monitoring,5.50
PRJ168,Testing,43.91
PRJ167,Training,13.91
PRJ167,Documentation,10.75
PRJ167,Client Meeting,39.75
PRJ167,Deployment,35.59
PRJ169,Deployment,45.84
PRJ169,Monitoring,54.16
PRJ160,Documentation,38.15
PRJ160,Client Meeting,37.03
PRJ160,Code Review,24.82
PRJ162,Training,21.35
PRJ162,Development,18.99
PRJ162,Code Review,42.42
PRJ162,Design Review,17.24
PRJ161,Documentation,27.52
PRJ161,Development,50.44
PRJ161,Design Review,22.04
PRJ164,Bug Fix,31.25
PRJ164,Code Review,47.99
PRJ164,Monitoring,13.74
PRJ164,Testing,7.02
PRJ163,Client Meeting,78.06
PRJ163,Deployment,21.94
PRJ155,Client Meeting,77.15
PRJ155,Testing,22.85
PRJ154,Documentation,58.81
PRJ154,Client Meeting,41.19
PRJ157,Training,16.68
PRJ157,Bug Fix,36.88
PRJ157,Development,5.49
PRJ157,Design Review,40.94
PRJ156,Development,20.23
PRJ156,Code Review,6.36
PRJ156,Design Review,30.95
PRJ156,Testing,42.46
PRJ159,Documentation,37.82
PRJ159,Design Review,47.14
PRJ159,Testing,15.03
PRJ158,Deployment,23.30
PRJ158,Monitoring,27.46
PRJ158,Testing,49.23
PRJ151,Bug Fix,24.53
PRJ151,Documentation,20.12
PRJ151,Development,14.07
PRJ151,Code Review,21.34
PRJ151,Design Review,19.94
PRJ150,Bug Fix,11.03
PRJ150,Documentation,55.18
PRJ150,Development,9.23
PRJ150,Deployment,15.61
PRJ150,Design Review,8.95
PRJ153,Bug Fix,15.00
PRJ153,Development,6.03
PRJ153,Client Meeting,37.51
PRJ153,Design Review,18.17
PRJ153,Monitoring,23.28
PRJ152,Training,81.36
PRJ152,Testing,18.64
PRJ100,Training,48.72
PRJ100,Documentation,34.17
PRJ100,Client Meeting,17.11
PRJ188,Training,20.71
PRJ188,Client Meeting,38.52
PRJ188,Code Review,29.87
PRJ188,Design Review,10.90
PRJ187,Testing,100.00
PRJ102,Development,71.04
PRJ102,Code Review,6.60
PRJ102,Design Review,10.58
PRJ102,Monitoring,11.78
PRJ101,Training,6.50
PRJ101,Deployment,29.08
PRJ101,Code Review,56.12
PRJ101,Design Review,8.29
PRJ189,Documentation,29.78
PRJ189,Code Review,13.14
PRJ189,Monitoring,36.02
PRJ189,Design Review,13.79
PRJ189,Testing,7.28
PRJ104,Bug Fix,13.69
PRJ104,Client Meeting,61.93
PRJ104,Monitoring,24.37
PRJ106,Training,9.90
PRJ106,Bug Fix,34.34
PRJ106,Deployment,29.56
PRJ106,Design Review,26.20
PRJ105,Development,35.36
PRJ105,Client Meeting,17.28
PRJ105,Deployment,21.95
PRJ105,Monitoring,25.41
PRJ180,Bug Fix,17.46
PRJ180,Development,6.62
PRJ180,Deployment,7.06
PRJ180,Client Meeting,24.81
PRJ180,Design Review,34.31
PRJ180,Testing,9.74
PRJ182,Training,37.04
PRJ182,Documentation,8.73
PRJ182,Development,8.99
PRJ182,Design Review,32.35
PRJ182,Testing,12.89
PRJ181,Deployment,25.29
PRJ181,Code Review,38.89
PRJ181,Design Review,35.81
PRJ184,Training,68.37
PRJ184,Deployment,31.63
PRJ183,Documentation,9.95
