Employee ID,Task Category,Percentage of Time
EMP0009,Training,14.04
EMP0009,Bug Fix,5.67
EMP0009,Documentation,5.84
EMP0009,Development,20.30
EMP0009,Deployment,11.31
EMP0009,Client Meeting,8.88
EMP0009,Code Review,7.80
EMP0009,Design Review,4.31
EMP0009,Monitoring,20.72
EMP0009,Testing,1.12
EMP0019,Training,16.70
EMP0019,Documentation,28.63
EMP0019,Development,7.53
EMP0019,Deployment,7.64
EMP0019,Client Meeting,16.10
EMP0019,Design Review,13.92
EMP0019,Monitoring,9.48
EMP0008,Training,10.27
EMP0008,Documentation,15.21
EMP0008,Development,6.27
EMP0008,Deployment,4.10
EMP0008,Client Meeting,12.59
EMP0008,Code Review,23.35
EMP0008,Monitoring,19.14
EMP0008,Testing,9.08
EMP0021,Training,15.17
EMP0021,Development,16.17
EMP0021,Deployment,20.07
EMP0021,Code Review,14.36
EMP0021,Monitoring,22.33
EMP0021,Design Review,8.04
EMP0021,Testing,3.86
EMP0010,Training,9.73
EMP0010,Documentation,12.27
EMP0010,Development,12.09
EMP0010,Client Meeting,11.39
EMP0010,Deployment,26.59
EMP0010,Code Review,16.89
EMP0010,Testing,11.04
EMP0020,Training,1.54
EMP0020,Bug Fix,13.37
EMP0020,Documentation,21.39
EMP0020,Development,3.71
EMP0020,Deployment,6.14
EMP0020,Client Meeting,16.99
EMP0020,Code Review,16.99
EMP0020,Monitoring,5.48
EMP0020,Design Review,3.44
EMP0020,Testing,10.94
EMP0012,Training,26.61
EMP0012,Bug Fix,16.97
EMP0012,Documentation,9.36
EMP0012,Development,6.58
EMP0012,Deployment,9.19
EMP0012,Code Review,9.54
EMP0012,Monitoring,21.75
EMP0001,Documentation,14.92
EMP0001,Client Meeting,21.22
EMP0001,Deployment,25.34
EMP0001,Code Review,25.95
EMP0001,Monitoring,1.43
EMP0001,Design Review,5.15
EMP0001,Testing,6.00
EMP0023,Training,15.43
EMP0023,Bug Fix,1.57
EMP0023,Documentation,7.11
EMP0023,Development,2.49
EMP0023,Deployment,8.72
EMP0023,Client Meeting,8.62
EMP0023,Code Review,9.32
EMP0023,Design Review,22.01
EMP0023,Testing,24.73
EMP0011,Training,16.65
EMP0011,Bug Fix,13.95
EMP0011,Documentation,3.38
EMP0011,Development,10.68
EMP0011,Client Meeting,13.08
EMP0011,Code Review,11.76
EMP0011,Design Review,18.13
EMP0011,Testing,12.37
EMP0022,Training,24.09
EMP0022,Bug Fix,23.78
EMP0022,Documentation,39.06
EMP0022,Client Meeting,5.82
EMP0022,Testing,7.25
EMP0003,Bug Fix,10.07
EMP0003,Documentation,6.97
