ProjectId,Week,hoursperWeek
PROJ1004,18,10.8
PROJ1004,19,30.6
PROJ1004,20,35.5
PROJ1004,21,24.0
PROJ1004,22,19.0
PROJ1004,23,31.5
PROJ1004,24,45.9
PROJ1004,25,35.9
PROJ1004,26,38.5
PROJ1004,27,25.3
PROJ1004,28,20.4
PROJ1004,29,24.3
PROJ1004,30,42.7
PROJ1004,31,10.4
PROJ1001,18,21.3
PROJ1001,19,8.4
PROJ1001,20,13.3
PROJ1001,21,14.4
PROJ1001,22,38.699999999999996
PROJ1001,23,32.8
PROJ1001,25,20.6
PROJ1001,26,9.8
PROJ1001,27,9.1
PROJ1001,28,12.8
PROJ1001,29,33.8
PROJ1001,30,4.5
PROJ1001,31,21.3
PROJ1003,18,5.5
PROJ1003,19,17.8
PROJ1003,20,23.2
PROJ1003,21,33.7
PROJ1003,22,29.7
PROJ1003,23,23.7
PROJ1003,24,45.2
PROJ1003,25,21.7
PROJ1003,26,24.3
PROJ1003,27,36.2
PROJ1003,28,48.199999999999996
PROJ1003,29,30.5
PROJ1003,30,36.1
PROJ1003,31,18.4
PROJ1002,18,3.2
PROJ1002,19,42.7
PROJ1002,20,47.4
PROJ1002,21,25.3
PROJ1002,22,21.9
PROJ1002,23,21.4
PROJ1002,24,16.4
PROJ1002,25,27.6
PROJ1002,26,40.2
PROJ1002,27,31.9
PROJ1002,28,23.4
PROJ1002,29,25.0
PROJ1002,30,27.8
PROJ1002,31,29.7
