Employee ID,Month,Average Hours Worked
EMP0009,MAY,6.473333333333334
EMP0009,APRIL,6.420833333333333
EMP0009,JUNE,5.6066666666666665
EMP0009,MARCH,5.098571428571428
EMP0019,MAY,5.922499999999999
EMP0019,APRIL,1.9
EMP0019,MARCH,7.66
EMP0008,MAY,5.546250000000001
EMP0008,APRIL,4.775454545454545
EMP0008,MARCH,5.213333333333334
EMP0021,MAY,4.735
EMP0021,APRIL,6.88
EMP0021,JUNE,2.6
EMP0021,MARCH,5.946000000000001
EMP0010,MAY,5.098
EMP0010,APRIL,5.286
EMP0010,MARCH,4.404
EMP0020,MAY,6.21
EMP0020,APRIL,5.12
EMP0020,JUNE,5.580000000000001
EMP0020,MARCH,6.0112499999999995
EMP0012,MAY,3.7125
EMP0012,APRIL,6.678888888888888
EMP0012,MARCH,4.465
EMP0001,MAY,5.13
EMP0001,APRIL,7.87
EMP0001,JUNE,4.67
EMP0001,MARCH,4.288
EMP0023,MAY,3.5760000000000005
EMP0023,APRIL,5.132
EMP0023,JUNE,1.66
EMP0023,MARCH,6.123333333333332
EMP0011,MAY,6.692500000000001
EMP0011,APRIL,7.975
EMP0011,MARCH,2.64
EMP0022,MAY,5.765
EMP0022,APRIL,5.075
EMP0022,MARCH,7.034000000000001
EMP0003,MAY,5.757777777777778
EMP0003,APRIL,5.05
EMP0003,MARCH,5.376666666666666
EMP0014,MAY,6.655
EMP0014,APRIL,6.162
EMP0014,JUNE,3.4
EMP0014,MARCH,4.114285714285715
EMP0002,MAY,3.94
EMP0002,APRIL,3.78
EMP0002,JUNE,2.12
EMP0002,MARCH,6.62
EMP0013,MAY,4.241666666666667
EMP0013,APRIL,3.4025
EMP0013,MARCH,8.5
EMP0024,MAY,4.726666666666667
EMP0024,APRIL,6.8500000000000005
EMP0024,JUNE,5.16
EMP0024,MARCH,7.3759999999999994
EMP0005,MAY,4.068333333333333
EMP0005,APRIL,4.588
EMP0005,JUNE,2.03
EMP0005,MARCH,6.48
EMP0016,MAY,7.06
EMP0016,APRIL,4.758
EMP0016,JUNE,2.645
EMP0016,MARCH,6.093999999999999
EMP0015,MAY,5.631428571428572
EMP0015,APRIL,4.209999999999999
EMP0015,MARCH,4.113333333333333
EMP0004,MAY,5.7588888888888885
EMP0004,APRIL,4.977777777777778
EMP0004,JUNE,1.24
EMP0004,MARCH,6.2275
EMP0007,MAY,5.178
EMP0007,APRIL,7.790000000000001
EMP0007,JUNE,8.453333333333333
EMP0007,MARCH,4.265000000000001
EMP0018,MAY,5.1000000000000005
EMP0018,APRIL,4.401999999999999
EMP0018,MARCH,2.99
EMP0006,MAY,3.9200000000000004
EMP0006,APRIL,4.095
EMP0006,MARCH,3.6025
EMP0017,MAY,4.822727272727272
EMP0017,APRIL,3.32
EMP0017,JUNE,7.3
EMP0017,MARCH,4.706666666666667
