Project ID,Category,Percentage Contribution
P104,Training,8.51
P104,Design,12.27
P104,Campaign,15.14
P104,CustomerSupport,19.27
P104,Documentation,16.15
P104,Development,15.52
P104,Research,7.88
P104,Testing,5.26
P203,Training,5.93
P203,Design,9.46
P203,ClientMeeting,24.17
P203,Campaign,10.44
P203,CustomerSupport,6.61
P203,Documentation,17.94
P203,Development,7.73
P203,Research,5.93
P203,Testing,11.79
P103,Training,7.73
P103,Design,30.76
P103,ClientMeeting,11.67
P103,Campaign,13.41
P103,Documentation,9.78
P103,Research,20.03
P103,Testing,6.62
P202,Training,8.32
P202,ClientMeeting,16.10
P202,Campaign,10.37
P202,CustomerSupport,10.64
P202,Documentation,11.60
P202,Development,12.69
P202,Research,19.65
P202,Testing,10.64
P205,Design,20.37
P205,Training,15.95
P205,Campaign,5.70
P205,CustomerSupport,7.12
P205,Documentation,24.36
P205,Development,7.12
P205,Research,11.97
P205,Testing,7.41
P106,Design,5.41
P106,Training,10.05
P106,ClientMeeting,20.62
P106,Campaign,13.66
P106,CustomerSupport,3.52
P106,Documentation,9.54
P106,Research,17.01
P106,Testing,20.19
P204,Training,23.09
P204,ClientMeeting,15.93
P204,Campaign,6.27
P204,CustomerSupport,10.79
P204,Documentation,22.46
P204,Development,15.06
P204,Testing,6.40
P105,Design,1.15
P105,Training,15.22
P105,ClientMeeting,12.23
P105,Campaign,3.59
P105,CustomerSupport,2.36
P105,Documentation,18.27
P105,Research,8.54
P105,Testing,38.65
P220,Design,14.43
P220,CustomerSupport,10.82
P220,Documentation,25.65
P220,Research,26.65
P220,Testing,22.44
P201,Design,30.21
P201,ClientMeeting,22.51
P201,CustomerSupport,23.93
P201,Research,23.34
P102,Design,15.21
P102,ClientMeeting,14.43
P102,CustomerSupport,13.27
P102,Documentation,7.47
P102,Development,9.92
P102,Research,19.72
P102,Testing,19.97
P101,Training,10.08
P101,Design,7.04
P101,ClientMeeting,7.52
P101,Campaign,13.28
P101,CustomerSupport,10.40
P101,Documentation,12.48
P101,Development,17.28
P101,Research,8.80
P101,Testing,13.12
P207,Design,11.81
P207,Training,26.90
P207,Campaign,6.55
P207,Development,36.49
P207,Research,18.25
P108,Training,15.17
P108,ClientMeeting,6.99
P108,Campaign,29.54
P108,CustomerSupport,23.75
P108,Development,9.18
P108,Research,6.99
P108,Testing,8.38
P107,Training,13.93
P107,Design,7.99
P107,Documentation,27.05
P107,Development,14.14
P107,Research,18.44
P107,Testing,18.44
P206,Design,6.53
P206,Training,8.67
P206,ClientMeeting,4.39
P206,Campaign,8.91
P206,CustomerSupport,17.58
P206,Documentation,17.81
P206,Development,24.35
P206,Research,11.76
P209,Design,14.97
P209,Training,16.02
P209,ClientMeeting,21.28
P209,Campaign,15.61
P209,Documentation,7.20
P209,Development,8.25
P209,Research,16.67
P109,Training,8.20
P109,Design,32.41
P109,ClientMeeting,7.82
P109,Campaign,14.59
P109,CustomerSupport,20.40
P109,Development,8.10
P109,Research,8.48
P208,Training,9.31
P208,ClientMeeting,19.51
P208,Campaign,14.75
P208,CustomerSupport,16.41
P208,Documentation,8.87
P208,Development,16.41
P208,Testing,14.75
P214,ClientMeeting,8.89
P214,Campaign,8.55
P214,CustomerSupport,20.81
P214,Documentation,24.18
P214,Development,11.81
P214,Research,8.89
P214,Testing,16.87
P115,Training,7.92
P115,Design,13.64
P115,ClientMeeting,16.32
P115,CustomerSupport,28.26
P115,Documentation,9.87
P115,Research,14.13
P115,Testing,9.87
P114,Training,5.41
P114,ClientMeeting,25.16
P114,Campaign,18.95
P114,Documentation,5.89
P114,Development,19.59
P114,Research,25.00
P213,ClientMeeting,27.39
P213,CustomerSupport,8.24
P213,Documentation,47.34
P213,Development,17.02
P216,Training,19.84
P216,Design,10.12
P216,ClientMeeting,6.49
P216,CustomerSupport,28.66
P216,Documentation,8.04
P216,Development,8.30
P216,Research,5.45
P216,Testing,13.10
P117,Design,18.35
P117,Training,18.01
P117,ClientMeeting,26.07
P117,Campaign,9.95
P117,CustomerSupport,21.96
P117,Documentation,5.66
P215,Training,28.79
P215,Campaign,31.92
P215,CustomerSupport,16.74
P215,Documentation,10.94
P215,Testing,11.61
P116,Training,19.30
P116,ClientMeeting,29.27
P116,Campaign,14.38
P116,CustomerSupport,8.94
P116,Development,20.08
P116,Research,8.03
P111,Design,18.02
P111,ClientMeeting,5.26
P111,Campaign,15.15
P111,CustomerSupport,5.90
P111,Documentation,22.65
P111,Development,7.97
P111,Research,25.04
P210,Training,39.12
P210,ClientMeeting,7.77
P210,Campaign,21.37
P210,Documentation,15.93
P210,Development,5.31
P210,Research,10.49
P110,Training,12.36
P110,ClientMeeting,8.67
P110,Campaign,5.30
P110,CustomerSupport,17.98
P110,Documentation,12.84
P110,Testing,42.86
P212,Training,13.30
P212,Design,28.57
P212,ClientMeeting,27.42
P212,CustomerSupport,14.29
P212,Development,9.85
P212,Research,6.57
