Employee ID,Year,Week,Distinct Categories
E020,2025,28,5
E020,2025,29,5
E020,2025,31,3
E010,2025,27,4
E010,2025,28,3
E010,2025,29,3
E010,2025,30,6
E011,2025,27,3
E011,2025,29,4
E011,2025,30,5
E001,2025,27,3
E001,2025,28,4
E001,2025,30,5
E012,2025,27,6
E012,2025,28,5
E012,2025,29,6
E012,2025,30,4
E013,2025,27,7
E013,2025,28,6
E013,2025,29,6
E013,2025,30,4
E013,2025,31,5
E002,2025,27,3
E002,2025,28,5
E002,2025,29,5
E002,2025,30,3
E003,2025,27,4
E003,2025,29,5
E003,2025,30,3
E003,2025,31,4
E014,2025,27,4
E014,2025,28,5
E014,2025,29,3
E014,2025,30,6
E015,2025,28,6
E015,2025,29,6
E015,2025,30,6
E004,2025,27,5
E004,2025,28,4
E004,2025,29,6
E004,2025,30,5
E016,2025,27,3
E016,2025,28,6
E016,2025,29,3
E016,2025,30,3
E016,2025,31,4
E005,2025,27,5
E005,2025,28,4
E005,2025,29,7
E005,2025,30,7
E017,2025,27,4
E017,2025,28,7
E017,2025,29,5
E017,2025,30,5
E006,2025,28,4
E006,2025,29,3
E006,2025,30,5
E006,2025,31,5
E007,2025,27,5
E007,2025,28,6
E007,2025,29,4
E007,2025,30,5
E018,2025,27,4
E018,2025,28,3
E018,2025,29,5
E018,2025,30,6
E019,2025,28,6
E019,2025,29,4
E008,2025,27,7
E008,2025,28,3
E008,2025,29,7
E008,2025,30,6
E009,2025,27,4
E009,2025,28,6
E009,2025,29,4
E009,2025,30,3
