Project ID,Employee ID,Total Hours,Average Hours
P104,E104,14.30,7.15
P104,E105,5.80,5.80
P104,E106,32.50,6.50
P104,E107,30.00,7.50
P104,E108,15.70,7.85
P104,E109,8.50,8.50
P104,E100,12.30,6.15
P104,E101,7.40,7.40
P104,E102,8.20,8.20
P104,E103,8.40,8.40
P103,E104,8.70,8.70
P103,E105,4.10,4.10
P103,E107,11.70,11.70
P103,E109,10.90,10.90
P103,E100,8.50,8.50
P103,E101,30.90,10.30
P103,E102,14.60,7.30
P103,E103,14.90,7.45
P105,E104,20.60,6.87
P105,E106,8.20,8.20
P105,E107,6.00,6.00
P105,E108,36.40,9.10
P105,E109,8.70,8.70
P105,E100,11.20,5.60
P105,E101,25.70,8.57
P105,E102,16.30,8.15
P105,E103,9.60,9.60
P100,E104,7.30,7.30
P100,E105,8.70,8.70
P100,E106,10.00,10.00
P100,E107,5.70,5.70
P100,E108,17.30,8.65
P100,E109,22.20,7.40
P100,E100,23.50,7.83
P100,E101,13.20,6.60
P100,E102,6.30,6.30
P102,E104,19.40,6.47
P102,E105,8.10,8.10
P102,E106,7.50,7.50
P102,E107,19.70,6.57
P102,E108,7.60,7.60
P102,E109,6.20,6.20
P102,E100,5.60,5.60
P102,E101,9.60,9.60
P102,E102,7.10,7.10
P102,E103,10.10,10.10
P101,E104,13.60,6.80
P101,E106,40.70,8.14
P101,E107,15.80,7.90
P101,E108,29.20,9.73
P101,E109,10.70,10.70
P101,E100,15.70,7.85
P101,E101,7.90,7.90
P101,E103,40.40,8.08
