"EmpID","HourDifference"
"E190","-12.1"
"E191","-3.9"
"E192","-8.2"
"E193","-3.6999999999999997"
"E150","-23.4"
"E151","-2.700000000000001"
"E196","8.7"
"E197","-5.4"
"E153","-1.8"
"E154","-4.2"
"E198","1.5"
"E111","4.9"
"E199","-6.9"
"E157","5.9"
"E113","8.4"
"E158","-0.6000000000000001"
"E115","8.0"
"E159","6.1"
"E116","6.500000000000001"
"E117","-7.8"
"E119","5.9"
"E180","-7.6"
"E182","-1.2"
"E183","5.2"
"E184","-5.0"
"E140","4.7"
"E142","3.0"
"E187","0.5999999999999996"
"E143","4.199999999999999"
"E188","-8.1"
"E144","6.000000000000001"
"E100","-10.1"
"E145","-3.3"
"E101","-8.7"
"E189","6.9"
"E102","3.8"
"E103","-4.9"
"E147","1.7"
"E104","-7.6"
"E149","4.0"
"E108","-6.0"
"E109","-2.3999999999999995"
"E171","-5.0"
"E172","8.100000000000001"
"E130","7.5"
"E132","3.9"
"E133","9.9"
"E177","11.2"
"E134","-1.4"
"E178","7.2"
"E135","-11.0"
"E179","3.5"
"E136","1.5"
"E137","-7.3"
"E139","-5.0"
"E160","3.1"
"E161","-3.1"
"E163","5.7"
"E120","-2.4"
"E121","-6.1"
"E165","5.0"
"E166","-1.5"
"E122","6.2"
"E168","6.8"
"E124","6.0"
"E169","1.3000000000000007"
"E129","-3.8"
