"EmpID_Date","TimePeriod"
"E109_2025-06-18","Evening"
"E153_2025-06-27","Morning"
"E150_2025-06-27","Evening"
"E161_2025-06-13","Morning"
"E163_2025-06-22","Morning"
"E150_2025-06-06","Afternoon"
"E169_2025-06-02","Afternoon"
"E191_2025-06-30","Morning"
"E157_2025-06-20","Morning"
"E111_2025-07-07","Morning"
"E190_2025-07-04","Afternoon"
"E197_2025-07-08","Afternoon"
"E187_2025-06-13","Afternoon"
"E192_2025-06-09","Evening"
"E103_2025-06-05","Afternoon"
"E121_2025-07-04","Morning"
"E116_2025-06-12","Morning"
"E182_2025-06-09","Morning"
"E199_2025-06-03","Afternoon"
"E137_2025-06-25","Afternoon"
"E104_2025-06-25","Afternoon"
"E129_2025-06-13","Morning"
"E100_2025-06-04","Morning"
"E139_2025-06-12","Evening"
"E130_2025-06-18","Morning"
"E145_2025-06-27","Morning"
"E100_2025-07-01","Afternoon"
"E135_2025-06-29","Afternoon"
"E151_2025-07-13","Evening"
"E120_2025-07-02","Morning"
"E193_2025-06-18","Afternoon"
"E143_2025-07-07","Morning"
"E188_2025-06-27","Evening"
"E117_2025-06-30","Evening"
"E109_2025-06-02","Morning"
"E150_2025-06-15","Evening"
"E134_2025-07-09","Morning"
"E171_2025-06-05","Morning"
"E180_2025-06-01","Afternoon"
"E154_2025-06-28","Afternoon"
"E144_2025-07-14","Morning"
"E101_2025-06-06","Evening"
"E190_2025-06-02","Afternoon"
"E184_2025-06-08","Afternoon"
"E121_2025-06-02","Morning"
"E108_2025-06-16","Afternoon"
"E135_2025-06-22","Afternoon"
"E166_2025-06-19","Morning"
"E158_2025-06-09","Morning"
