emlopyee ID,, avg hours
E005,Bug Fixing,68.96551724137932
E005,Testing,31.03448275862069
E001,Bug Fixing,29.03225806451613
E001,Documentation,19.35483870967742
E001,Development,51.61290322580645
E002,Bug Fixing,56.75675675675676
E002,Documentation,18.91891891891892
E002,Testing,24.324324324324326
E003,Design,38.095238095238095
E003,Documentation,28.57142857142857
E003,Development,33.33333333333333
E004,Documentation,23.809523809523807
E004,Development,33.33333333333333
E004,Research,42.857142857142854
