Department - Project,Total Hours
Engineering - P106,116.40
Engineering - P118,108.50
Engineering - P109,104.90
Engineering - P119,98.40
Engineering - P105,91.20
Engineering - P115,82.10
Engineering - P104,79.90
Engineering - P113,77.70
Engineering - P102,77.60
Engineering - P116,77.20
Engineering - P103,63.40
Engineering - P112,63.40
Engineering - P114,62.80
Engineering - P111,62.70
Engineering - P101,62.50
Engineering - P110,62.30
Support - P209,60.40
Engineering - P117,58.30
Marketing - P203,51.90
Engineering - P108,50.10
Engineering - P107,48.80
Support - P218,48.50
Support - P203,47.50
Marketing - P208,45.00
Support - P204,43.60
Support - P210,42.20
Support - P207,41.40
Marketing - P209,40.60
Marketing - P206,39.90
HR - P202,35.70
Support - P211,34.50
Support - P202,33.30
Support - P205,32.00
HR - P208,30.50
Support - P219,30.20
Support - P214,29.70
HR - P214,29.10
Sales - P205,28.00
Support - P201,26.30
Support - P216,25.90
Sales - P212,25.70
Marketing - P201,25.40
Marketing - P214,25.20
Sales - P219,24.30
Support - P215,23.20
HR - P207,23.00
Sales - P216,22.90
Sales - P209,22.60
HR - P203,21.90
Sales - P218,21.50
Support - P212,21.10
Marketing - P216,20.80
Sales - P220,20.70
Support - P206,20.50
Support - P213,20.40
Sales - P211,19.90
Sales - P201,19.60
Marketing - P204,17.20
HR - P206,17.00
Marketing - P217,16.90
Marketing - P210,16.80
HR - P218,16.30
HR - P217,15.20
Marketing - P207,15.00
Marketing - P212,14.10
HR - P201,13.10
Marketing - P213,13.00
Marketing - P215,12.90
HR - P219,12.40
Marketing - P211,12.10
Support - P217,12.10
Sales - P203,11.90
Sales - P210,11.50
Marketing - P220,11.20
HR - P220,10.80
Sales - P204,9.60
HR - P204,9.30
Support - P208,9.00
HR - P215,8.70
Marketing - P219,7.60
HR - P216,7.50
Support - P220,7.20
Sales - P206,6.80
HR - P210,6.70
Sales - P207,6.10
Sales - P208,5.70
HR - P205,5.20
Sales - P217,5.10
Marketing - P205,5.00
Sales - P214,4.90
Marketing - P202,4.30
HR - P213,4.20
