Employee ID,Window Index,7-Day Average
EMP0009,1,5.10
EMP0009,2,4.85
EMP0009,3,5.79
EMP0009,4,5.85
EMP0009,5,5.96
EMP0009,6,5.59
EMP0009,7,5.36
EMP0009,8,4.81
EMP0009,9,6.06
EMP0009,10,6.22
EMP0009,11,6.85
EMP0009,12,6.99
EMP0009,13,7.26
EMP0009,14,7.80
EMP0009,15,8.00
EMP0009,16,7.77
EMP0009,17,7.60
EMP0009,18,7.88
EMP0009,19,6.85
EMP0009,20,6.07
EMP0009,21,5.30
EMP0009,22,6.15
EMP0008,1,4.87
EMP0008,2,5.17
EMP0008,3,5.24
EMP0008,4,4.64
EMP0008,5,4.06
EMP0008,6,4.85
EMP0008,7,5.07
EMP0008,8,5.45
EMP0008,9,6.01
EMP0008,10,4.93
EMP0008,11,4.73
EMP0008,12,4.76
EMP0008,13,3.63
EMP0008,14,4.29
EMP0008,15,4.63
EMP0008,16,3.97
EMP0008,17,4.20
EMP0008,18,5.09
EMP0008,19,6.04
EMP0019,1,6.26
EMP0019,2,5.65
EMP0019,3,5.05
EMP0019,4,4.53
EMP0010,1,4.93
EMP0010,2,5.38
EMP0010,3,5.41
EMP0010,4,5.19
EMP0010,5,4.68
EMP0010,6,5.35
EMP0010,7,5.29
EMP0010,8,4.87
EMP0010,9,5.28
EMP0010,10,5.67
EMP0010,11,5.81
EMP0010,12,5.80
EMP0010,13,5.27
EMP0010,14,4.61
EMP0021,1,6.66
EMP0021,2,6.53
EMP0021,3,7.07
EMP0021,4,6.31
EMP0021,5,5.56
EMP0021,6,5.36
EMP0021,7,4.36
EMP0021,8,4.24
EMP0021,9,5.09
EMP0021,10,4.43
EMP0020,1,5.80
EMP0020,2,6.65
EMP0020,3,6.86
EMP0020,4,6.70
EMP0020,5,6.53
EMP0020,6,6.49
EMP0020,7,5.52
EMP0020,8,5.80
EMP0020,9,5.85
EMP0020,10,6.03
EMP0020,11,5.95
EMP0020,12,6.18
EMP0020,13,6.07
EMP0020,14,6.09
EMP0023,1,5.93
EMP0023,2,4.74
EMP0023,3,4.44
EMP0023,4,4.98
EMP0023,5,4.82
EMP0023,6,4.79
EMP0023,7,4.93
EMP0023,8,4.39
EMP0023,9,4.40
EMP0023,10,4.52
EMP0023,11,3.60
EMP0023,12,3.96
EMP0023,13,4.00
EMP0001,1,4.74
EMP0001,2,4.57
EMP0001,3,4.84
EMP0001,4,5.34
EMP0001,5,5.63
EMP0001,6,5.26
EMP0001,7,4.61
EMP0001,8,5.31
EMP0001,9,5.51
EMP0012,1,5.76
EMP0012,2,6.18
EMP0012,3,6.37
EMP0012,4,6.91
EMP0012,5,7.38
EMP0012,6,6.48
EMP0012,7,6.32
EMP0012,8,5.43
EMP0012,9,5.07
EMP0022,1,6.60
EMP0022,2,6.21
EMP0022,3,5.62
EMP0022,4,6.03
EMP0022,5,5.10
EMP0011,1,5.69
EMP0011,2,5.80
EMP0011,3,6.56
EMP0011,4,7.64
EMP0011,5,7.29
EMP0014,1,4.11
EMP0014,2,4.37
EMP0014,3,4.73
EMP0014,4,5.34
EMP0014,5,6.04
EMP0014,6,5.84
EMP0014,7,6.88
EMP0014,8,6.22
EMP0014,9,6.84
EMP0014,10,6.95
EMP0014,11,6.15
EMP0014,12,6.01
EMP0014,13,7.17
EMP0014,14,6.26
EMP0014,15,6.27
EMP0003,1,6.13
EMP0003,2,6.25
EMP0003,3,6.15
EMP0003,4,6.22
EMP0003,5,6.10
EMP0003,6,5.48
EMP0003,7,5.42
EMP0003,8,5.02
EMP0024,1,7.71
EMP0024,2,7.43
EMP0024,3,7.04
EMP0024,4,6.64
EMP0024,5,6.61
EMP0024,6,6.85
EMP0024,7,5.93
EMP0024,8,5.23
EMP0024,9,5.51
EMP0024,10,5.77
EMP0013,1,5.91
EMP0013,2,5.20
EMP0013,3,4.06
EMP0013,4,3.56
EMP0013,5,2.89
EMP0013,6,2.65
EMP0013,7,3.24
EMP0013,8,3.16
EMP0013,9,3.27
EMP0013,10,3.49
EMP0013,11,3.97
EMP0002,1,4.21
EMP0002,2,3.57
EMP0016,1,6.55
EMP0016,2,6.62
EMP0016,3,6.27
EMP0016,4,5.68
EMP0016,5,5.90
EMP0016,6,5.75
EMP0016,7,5.35
EMP0016,8,4.53
EMP0016,9,4.43
EMP0005,1,4.99
EMP0005,2,5.10
EMP0005,3,5.69
EMP0005,4,4.65
EMP0005,5,4.16
EMP0005,6,4.24
EMP0005,7,4.15
EMP0005,8,4.55
EMP0005,9,3.78
EMP0004,1,6.35
EMP0004,2,5.13
EMP0004,3,5.68
EMP0004,4,5.03
EMP0004,5,5.08
EMP0004,6,4.68
EMP0004,7,4.17
EMP0004,8,3.89
EMP0004,9,4.93
EMP0004,10,4.46
EMP0004,11,5.25
EMP0004,12,5.09
EMP0004,13,5.80
EMP0004,14,6.15
EMP0004,15,6.48
EMP0004,16,5.93
EMP0004,17,5.65
EMP0004,18,4.63
EMP0015,1,4.08
EMP0015,2,4.17
EMP0015,3,3.95
EMP0015,4,3.64
EMP0015,5,3.45
EMP0015,6,3.42
