Employee ID,Date,Hours Worked
E020,2025-07-30,18.30
E020,2025-07-16,26.20
E020,2025-07-10,15.10
E020,2025-07-09,13.40
E010,2025-07-26,17.70
E010,2025-07-22,18.70
E010,2025-07-21,10.30
E010,2025-07-18,9.10
E010,2025-07-13,9.90
E010,2025-07-01,9.80
E011,2025-07-24,10.60
E011,2025-07-21,15.80
E011,2025-07-05,9.70
E001,2025-07-27,10.20
E001,2025-07-25,10.50
E001,2025-07-07,15.80
E012,2025-07-27,14.60
E012,2025-07-19,13.40
E012,2025-07-10,17.40
E012,2025-07-06,10.70
E012,2025-07-05,13.30
E012,2025-07-01,21.00
E013,2025-07-29,14.10
E013,2025-07-28,15.40
E013,2025-07-21,28.60
E013,2025-07-16,22.20
E013,2025-07-14,14.40
E013,2025-07-11,12.80
E013,2025-07-02,16.20
E013,2025-07-01,13.50
E002,2025-07-25,10.30
E002,2025-07-19,9.30
E002,2025-07-18,14.50
E002,2025-07-15,12.80
E002,2025-07-13,14.00
E002,2025-07-11,15.70
E002,2025-07-10,50.40
E002,2025-07-06,10.80
E003,2025-07-30,24.00
E003,2025-07-19,14.90
E003,2025-07-02,9.30
E014,2025-07-22,21.90
E014,2025-07-15,15.60
E014,2025-07-14,12.90
E015,2025-07-27,13.00
E015,2025-07-23,14.60
E015,2025-07-20,11.00
E015,2025-07-18,12.90
E015,2025-07-15,10.60
E015,2025-07-13,17.10
E015,2025-07-10,10.70
E004,2025-07-28,11.10
E004,2025-07-22,9.50
E004,2025-07-14,11.50
E004,2025-07-10,16.90
E004,2025-07-01,9.70
E016,2025-07-30,16.60
E016,2025-07-27,11.30
E016,2025-07-14,11.90
E016,2025-07-11,16.50
E016,2025-07-09,13.70
E016,2025-07-08,20.30
E005,2025-07-22,13.50
E005,2025-07-19,67.80
E005,2025-07-12,16.10
E005,2025-07-06,12.00
E005,2025-07-04,16.10
E017,2025-07-27,23.10
E017,2025-07-18,18.80
E017,2025-07-16,10.10
E017,2025-07-09,21.20
E017,2025-07-03,13.40
E006,2025-07-30,10.10
E006,2025-07-29,15.90
E006,2025-07-28,23.40
E006,2025-07-27,11.60
E006,2025-07-21,12.60
E006,2025-07-16,12.80
E006,2025-07-11,13.60
E006,2025-07-08,14.60
E007,2025-07-27,10.20
E007,2025-07-18,24.40
E007,2025-07-14,15.70
E007,2025-07-13,10.80
E007,2025-07-12,9.10
E007,2025-07-05,49.00
E007,2025-07-04,17.50
E007,2025-07-02,16.90
E018,2025-07-19,15.30
E018,2025-07-08,21.00
E018,2025-07-06,11.10
E019,2025-07-28,18.00
E019,2025-07-18,13.80
E019,2025-07-17,23.00
E019,2025-07-09,12.50
E019,2025-07-08,21.80
E008,2025-07-27,19.20
E008,2025-07-22,11.90
E008,2025-07-20,23.20
E008,2025-07-19,12.40
E008,2025-07-15,55.30
E008,2025-07-14,29.10
E008,2025-07-03,17.10
E008,2025-07-02,29.60
E008,2025-07-01,32.60
E009,2025-07-27,10.30
E009,2025-07-26,9.80
E009,2025-07-16,10.60
E009,2025-07-11,60.90
