ProjectWeek,TotalHours
PRJ001 | Week 16 of 2025,8.25
PRJ001 | Week 19 of 2025,5.15
PRJ001 | Week 21 of 2025,4.31
PRJ001 | Week 22 of 2025,3.19
PRJ001 | Week 25 of 2025,18.82
PRJ001 | Week 26 of 2025,1.14
PRJ002 | Week 20 of 2025,5.93
PRJ002 | Week 24 of 2025,2.38
PRJ002 | Week 26 of 2025,7.18
PRJ003 | Week 18 of 2025,4.36
PRJ003 | Week 19 of 2025,5.84
PRJ003 | Week 23 of 2025,5.85
PRJ003 | Week 25 of 2025,10.73
PRJ003 | Week 26 of 2025,5.02
PRJ003 | Week 27 of 2025,9.67
PRJ004 | Week 20 of 2025,13.07
PRJ004 | Week 23 of 2025,2.07
PRJ004 | Week 25 of 2025,8.10
PRJ004 | Week 26 of 2025,7.83
PRJ005 | Week 17 of 2025,6.89
PRJ005 | Week 18 of 2025,7.23
PRJ005 | Week 21 of 2025,2.66
PRJ005 | Week 22 of 2025,5.44
PRJ006 | Week 16 of 2025,9.52
PRJ006 | Week 20 of 2025,4.42
PRJ006 | Week 22 of 2025,4.35
PRJ006 | Week 23 of 2025,2.81
PRJ007 | Week 16 of 2025,4.63
PRJ007 | Week 23 of 2025,13.84
PRJ007 | Week 25 of 2025,8.00
PRJ008 | Week 21 of 2025,9.05
PRJ009 | Week 18 of 2025,7.40
PRJ009 | Week 23 of 2025,10.76
PRJ009 | Week 25 of 2025,9.49
PRJ010 | Week 16 of 2025,1.57
PRJ010 | Week 22 of 2025,9.35
PRJ011 | Week 16 of 2025,11.11
PRJ011 | Week 19 of 2025,1.40
PRJ012 | Week 17 of 2025,4.59
PRJ012 | Week 19 of 2025,1.13
PRJ012 | Week 22 of 2025,9.18
PRJ012 | Week 25 of 2025,5.98
PRJ013 | Week 16 of 2025,7.87
PRJ013 | Week 22 of 2025,1.59
PRJ013 | Week 23 of 2025,4.54
PRJ013 | Week 24 of 2025,7.74
PRJ013 | Week 25 of 2025,3.33
PRJ013 | Week 27 of 2025,2.67
PRJ013 | Week 28 of 2025,5.11
PRJ014 | Week 20 of 2025,19.75
PRJ014 | Week 26 of 2025,8.38
PRJ014 | Week 27 of 2025,16.24
PRJ015 | Week 16 of 2025,5.43
PRJ015 | Week 23 of 2025,7.43
PRJ016 | Week 19 of 2025,1.34
PRJ016 | Week 20 of 2025,11.17
PRJ016 | Week 23 of 2025,1.25
PRJ016 | Week 24 of 2025,1.38
PRJ016 | Week 27 of 2025,2.62
PRJ017 | Week 17 of 2025,7.83
PRJ017 | Week 19 of 2025,5.91
PRJ017 | Week 21 of 2025,19.47
PRJ017 | Week 22 of 2025,5.47
PRJ017 | Week 25 of 2025,17.47
PRJ017 | Week 27 of 2025,4.55
PRJ017 | Week 28 of 2025,9.74
PRJ018 | Week 20 of 2025,1.22
PRJ018 | Week 21 of 2025,11.50
PRJ018 | Week 23 of 2025,1.16
PRJ018 | Week 28 of 2025,8.18
PRJ019 | Week 16 of 2025,10.24
PRJ019 | Week 23 of 2025,9.23
PRJ019 | Week 25 of 2025,3.38
PRJ020 | Week 19 of 2025,5.23
PRJ020 | Week 21 of 2025,5.24
PRJ020 | Week 22 of 2025,2.98
PRJ020 | Week 26 of 2025,4.89
PRJ020 | Week 27 of 2025,9.43
PRJ020 | Week 28 of 2025,14.04
