result of 4: Group by Employee and Month based on Average weekly hours
Employee-Month,Average Weekly Hours
EMP0001_2025-6,1.17
EMP0020_2025-6,4.19
EMP0020_2025-5,9.32
EMP0020_2025-4,3.84
EMP0020_2025-3,12.02
EMP0021_2025-4,6.88
EMP0021_2025-5,7.10
EMP0022_2025-5,2.88
EMP0023_2025-6,0.42
EMP0021_2025-6,0.65
EMP0019_2025-4,0.95
EMP0019_2025-3,7.66
EMP0017_2025-5,13.26
EMP0017_2025-6,1.83
EMP0017_2025-3,7.06
EMP0015_2025-3,6.17
EMP0017_2025-4,1.66
EMP0015_2025-4,5.26
EMP0024_2025-6,1.29
EMP0015_2025-5,9.86
EMP0019_2025-5,5.92
EMP0024_2025-5,3.55
EMP0022_2025-4,5.08
EMP0024_2025-4,11.99
EMP0022_2025-3,8.79
EMP0024_2025-3,9.22
EMP0004_2025-3,6.23
EMP0013_2025-5,6.36
EMP0004_2025-4,11.20
EMP0013_2025-3,6.38
EMP0013_2025-4,6.81
EMP0006_2025-4,2.05
EMP0002_2025-3,1.66
EMP0011_2025-4,7.98
EMP0011_2025-3,1.98
EMP0006_2025-3,3.60
EMP0002_2025-4,4.73
EMP0002_2025-5,0.99
EMP0004_2025-5,12.96
EMP0004_2025-6,0.62
EMP0006_2025-5,6.86
EMP0008_2025-5,11.09
EMP0002_2025-6,0.53
EMP0008_2025-4,13.13
EMP0008_2025-3,7.82
EMP0010_2025-4,6.61
EMP0011_2025-5,6.69
EMP0010_2025-5,12.75
EMP0018_2025-3,1.50
EMP0009_2025-3,8.92
EMP0009_2025-4,19.26
EMP0009_2025-5,9.71
EMP0016_2025-3,7.62
EMP0009_2025-6,4.21
EMP0016_2025-5,5.30
EMP0018_2025-5,8.93
EMP0018_2025-4,5.50
EMP0016_2025-4,5.95
EMP0023_2025-4,12.83
EMP0016_2025-6,1.32
EMP0023_2025-5,4.47
EMP0021_2025-3,7.43
EMP0023_2025-3,4.59
EMP0005_2025-6,0.51
EMP0012_2025-3,2.23
EMP0014_2025-6,0.85
EMP0003_2025-3,4.03
EMP0012_2025-4,15.03
EMP0014_2025-5,13.31
EMP0014_2025-4,7.70
EMP0012_2025-5,3.71
EMP0007_2025-6,6.34
EMP0003_2025-5,12.96
EMP0014_2025-3,7.20
EMP0005_2025-3,4.86
EMP0010_2025-3,5.51
EMP0003_2025-4,2.53
EMP0005_2025-4,5.74
EMP0007_2025-4,9.74
EMP0005_2025-5,6.10
EMP0007_2025-5,6.47
EMP0001_2025-5,10.26
EMP0007_2025-3,2.13
EMP0001_2025-4,1.97
EMP0001_2025-3,5.36
