Department,ProjectId,Date,EmployeeId,TaskCategory,HoursWorked
Engineering,P101,2025-07-01,E004,Training,6.3
Engineering,P101,2025-07-06,E012,ClientMeeting,4.7
Engineering,P101,2025-07-08,E009,Design,4.4
Engineering,P101,2025-07-16,E020,Testing,8.2
Engineering,P101,2025-07-16,E007,Research,5.5
Engineering,P101,2025-07-17,E015,Campaign,4.9
Engineering,P101,2025-07-18,E010,Campaign,3.4
Engineering,P101,2025-07-18,E017,Development,7.6
Engineering,P101,2025-07-22,E018,CustomerSupport,6.5
Engineering,P101,2025-07-23,E020,Documentation,7.8
Engineering,P101,2025-07-26,E018,Development,3.2
Engineering,P102,2025-07-03,E014,Documentation,5.8
Engineering,P102,2025-07-04,E004,Research,6.7
Engineering,P102,2025-07-04,E009,ClientMeeting,5.6
Engineering,P102,2025-07-09,E019,Testing,8.6
Engineering,P102,2025-07-11,E012,Development,7.7
Engineering,P102,2025-07-12,E011,Testing,6.9
Engineering,P102,2025-07-13,E005,Research,3.1
Engineering,P102,2025-07-16,E018,Research,5.5
Engineering,P102,2025-07-19,E002,ClientMeeting,5.6
Engineering,P102,2025-07-20,E015,Design,3.8
Engineering,P102,2025-07-21,E010,CustomerSupport,3.9
Engineering,P102,2025-07-21,E008,CustomerSupport,6.4
Engineering,P102,2025-07-23,E014,Design,8.0
Engineering,P103,2025-07-08,E001,Design,6.6
Engineering,P103,2025-07-08,E017,Campaign,8.5
Engineering,P103,2025-07-13,E019,Design,5.0
Engineering,P103,2025-07-14,E004,ClientMeeting,7.4
Engineering,P103,2025-07-15,E018,Documentation,6.2
Engineering,P103,2025-07-18,E001,Design,7.9
Engineering,P103,2025-07-21,E003,Research,8.3
Engineering,P103,2025-07-25,E015,Testing,4.2
Engineering,P103,2025-07-25,E001,Research,4.4
Engineering,P103,2025-07-27,E005,Training,4.9
Engineering,P104,2025-07-07,E001,Training,6.8
Engineering,P104,2025-07-08,E019,Research,6.3
Engineering,P104,2025-07-13,E017,Design,5.8
Engineering,P104,2025-07-13,E013,CustomerSupport,4.2
Engineering,P104,2025-07-16,E013,Documentation,3.6
Engineering,P104,2025-07-16,E009,Development,6.6
Engineering,P104,2025-07-19,E008,Development,5.8
Engineering,P104,2025-07-19,E008,Campaign,6.6
Engineering,P104,2025-07-20,E006,Design,4.0
Engineering,P104,2025-07-21,E009,Testing,4.2
Engineering,P104,2025-07-22,E008,Campaign,5.5
Engineering,P104,2025-07-23,E015,CustomerSupport,5.2
Engineering,P104,2025-07-27,E016,CustomerSupport,6.0
Engineering,P104,2025-07-28,E003,Documentation,4.6
Engineering,P104,2025-07-29,E003,Documentation,4.7
Engineering,P105,2025-07-01,E008,Research,5.3
Engineering,P105,2025-07-01,E009,Campaign,4.6
Engineering,P105,2025-07-04,E005,Campaign,7.3
Engineering,P105,2025-07-05,E007,ClientMeeting,8.5
Engineering,P105,2025-07-05,E003,Design,3.8
Engineering,P105,2025-07-08,E016,Testing,6.3
Engineering,P105,2025-07-10,E002,Training,8.4
Engineering,P105,2025-07-10,E014,Documentation,5.2
Engineering,P105,2025-07-11,E009,Testing,7.4
Engineering,P105,2025-07-11,E019,Testing,4.7
Engineering,P105,2025-07-15,E008,Documentation,6.3
Engineering,P105,2025-07-17,E007,CustomerSupport,7.8
Engineering,P105,2025-07-19,E005,Testing,3.8
Engineering,P105,2025-07-19,E004,Testing,8.2
Engineering,P105,2025-07-24,E007,Testing,3.6
Engineering,P106,2025-07-03,E008,Training,4.5
Engineering,P106,2025-07-05,E014,ClientMeeting,4.7
Engineering,P106,2025-07-06,E013,Campaign,8.1
Engineering,P106,2025-07-07,E013,Training,7.2
Engineering,P106,2025-07-09,E017,ClientMeeting,6.3
Engineering,P106,2025-07-12,E007,Testing,4.0
Engineering,P106,2025-07-14,E004,CustomerSupport,4.1
Engineering,P106,2025-07-14,E008,Research,4.6
Engineering,P106,2025-07-14,E013,Research,7.5
Engineering,P106,2025-07-16,E011,ClientMeeting,5.4
Engineering,P106,2025-07-16,E016,Design,6.3
Engineering,P106,2025-07-18,E012,Testing,6.1
Engineering,P106,2025-07-21,E013,Testing,6.3
Engineering,P106,2025-07-21,E006,Documentation,7.6
Engineering,P106,2025-07-27,E013,Documentation,3.5
Engineering,P106,2025-07-27,E018,Campaign,7.8
Engineering,P106,2025-07-28,E006,Testing,7.1
Engineering,P106,2025-07-28,E010,Research,7.7
Engineering,P106,2025-07-29,E006,ClientMeeting,7.6
Engineering,P107,2025-07-01,E013,Design,3.9
Engineering,P107,2025-07-02,E017,Testing,3.1
Engineering,P107,2025-07-04,E018,Development,6.9
Engineering,P107,2025-07-07,E001,Research,9.0
Engineering,P107,2025-07-09,E012,Training,6.8
Engineering,P107,2025-07-09,E017,Documentation,6.8
Engineering,P107,2025-07-27,E012,Testing,5.9
Engineering,P107,2025-07-29,E001,Documentation,6.4
Engineering,P108,2025-07-10,E007,CustomerSupport,8.5
Engineering,P108,2025-07-10,E006,Research,3.5
Engineering,P108,2025-07-15,E013,Training,7.6
Engineering,P108,2025-07-18,E015,Development,4.6
Engineering,P108,2025-07-21,E004,Campaign,5.2
Engineering,P108,2025-07-22,E002,Campaign,3.2
Engineering,P108,2025-07-22,E014,Testing,4.2
Engineering,P108,2025-07-22,E008,Campaign,6.4
Engineering,P108,2025-07-28,E015,CustomerSupport,3.4
Engineering,P108,2025-07-29,E009,ClientMeeting,3.5
Engineering,P109,2025-07-03,E017,Design,7.9
Engineering,P109,2025-07-05,E007,Development,8.5
Engineering,P109,2025-07-07,E005,Design,5.5
Engineering,P109,2025-07-10,E020,Design,8.6
Engineering,P109,2025-07-10,E015,Design,6.6
Engineering,P109,2025-07-11,E006,Campaign,8.6
Engineering,P109,2025-07-11,E016,Research,8.9
Engineering,P109,2025-07-11,E002,Training,8.6
Engineering,P109,2025-07-12,E018,CustomerSupport,7.5
Engineering,P109,2025-07-14,E012,Campaign,6.7
Engineering,P109,2025-07-14,E008,CustomerSupport,3.9
