EmployeeId,TaskCategory,Percentage
E020,Training,4.79
E020,Design,16.30
E020,Campaign,8.33
E020,CustomerSupport,18.95
E020,Documentation,13.50
E020,Development,22.42
E020,Research,5.90
E020,Testing,9.81
E010,Training,9.32
E010,Design,10.16
E010,ClientMeeting,13.76
E010,Campaign,4.94
E010,CustomerSupport,11.57
E010,Documentation,5.65
E010,Development,10.80
E010,Research,29.57
E010,Testing,4.23
E011,Design,4.40
E011,Training,18.73
E011,ClientMeeting,15.83
E011,Campaign,9.59
E011,CustomerSupport,3.87
E011,Documentation,14.25
E011,Development,10.03
E011,Research,3.61
E011,Testing,19.70
E012,Training,8.94
E012,Design,19.20
E012,ClientMeeting,10.60
E012,Campaign,12.03
E012,CustomerSupport,2.92
E012,Documentation,15.59
E012,Development,10.72
E012,Research,4.24
E012,Testing,15.76
E001,Design,28.07
E001,Training,19.80
E001,Campaign,10.22
E001,CustomerSupport,8.09
E001,Documentation,21.38
E001,Research,12.45
E002,Design,7.61
E002,Training,29.84
E002,ClientMeeting,15.77
E002,Campaign,2.49
E002,CustomerSupport,3.96
E002,Documentation,8.62
E002,Development,12.98
E002,Research,18.73
E013,Training,16.25
E013,Design,10.10
E013,ClientMeeting,15.39
E013,Campaign,11.69
E013,CustomerSupport,3.53
E013,Documentation,14.88
E013,Development,8.13
E013,Research,10.88
E013,Testing,9.16
E014,Design,5.81
E014,Training,12.06
E014,ClientMeeting,19.62
E014,CustomerSupport,9.08
E014,Documentation,37.14
E014,Development,7.78
E014,Research,5.45
E014,Testing,3.05
E003,Training,14.70
E003,Design,10.40
E003,ClientMeeting,9.62
E003,Campaign,24.63
E003,CustomerSupport,9.85
E003,Documentation,7.27
E003,Research,15.79
E003,Testing,7.74
E004,Design,4.92
E004,Training,11.56
E004,ClientMeeting,13.13
E004,Campaign,5.65
E004,CustomerSupport,10.37
E004,Documentation,10.51
E004,Development,17.47
E004,Research,13.46
E004,Testing,12.93
E015,Training,2.88
E015,Design,8.11
E015,ClientMeeting,14.65
E015,Campaign,22.29
E015,CustomerSupport,12.70
E015,Documentation,6.63
E015,Development,10.83
E015,Research,8.96
E015,Testing,12.94
E005,Training,5.51
E005,Design,10.29
E005,ClientMeeting,17.22
E005,Campaign,13.11
E005,CustomerSupport,13.85
E005,Documentation,5.11
E005,Development,5.65
E005,Research,12.24
E005,Testing,17.01
E016,Design,13.77
E016,Training,4.95
E016,ClientMeeting,11.83
E016,Campaign,11.23
E016,CustomerSupport,17.38
E016,Documentation,9.56
E016,Development,8.36
E016,Research,16.38
E016,Testing,6.55
E006,Design,2.61
E006,Training,3.98
E006,ClientMeeting,15.66
E006,Campaign,11.29
E006,CustomerSupport,6.91
E006,Documentation,14.74
E006,Development,10.96
E006,Research,21.40
E006,Testing,12.46
E017,Training,14.15
E017,Design,19.29
E017,ClientMeeting,14.98
E017,Campaign,15.11
E017,CustomerSupport,7.91
E017,Documentation,6.50
E017,Development,7.59
E017,Research,5.14
E017,Testing,9.32
E018,Training,7.70
E018,Design,8.04
E018,ClientMeeting,11.25
E018,Campaign,12.75
E018,CustomerSupport,30.54
E018,Documentation,4.23
E018,Development,6.88
E018,Research,12.54
E018,Testing,6.07
E007,Design,2.45
E007,Training,4.41
E007,ClientMeeting,13.24
E007,Campaign,11.55
E007,CustomerSupport,26.09
E007,Documentation,6.37
E007,Development,15.74
E007,Research,9.48
E007,Testing,10.68
E008,Design,7.50
E008,Training,7.20
E008,ClientMeeting,9.02
E008,Campaign,13.89
E008,CustomerSupport,14.85
E008,Documentation,21.34
E008,Development,10.39
E008,Research,12.16
E008,Testing,3.65
E019,Design,3.36
E019,Training,15.74
E019,ClientMeeting,23.07
E019,Campaign,7.67
E019,CustomerSupport,8.68
E019,Documentation,5.92
E019,Development,12.37
E019,Research,8.81
E019,Testing,14.39
E009,Design,6.74
E009,ClientMeeting,13.98
E009,Campaign,7.89
E009,CustomerSupport,14.56
E009,Documentation,20.31
E009,Development,9.54
E009,Research,9.79
E009,Testing,17.19
